Name,Country,Code,Domains,Website
Ondokuz Mayis University Samsun,Turkey,TR,omu.edu.tr,http://www.omu.edu.tr/
Ordu University,Turkey,TR,odu.edu.tr,http://www.odu.edu.tr
Ozyegin University,Turkey,TR,ozyegin.edu.tr,http://www.ozyegin.edu.tr/
Pamukkale University,Turkey,TR,pamukkale.edu.tr,http://www.pamukkale.edu.tr/
Sabanci University,Turkey,TR,"sabanciuniv.edu.tr, sabanciuniv.edu",http://www.sabanciuniv.edu.tr/
Sakarya University,Turkey,TR,"sau.edu.tr, sakarya.edu.tr",http://www.sau.edu.tr/
Suleyman Demirel University,Turkey,TR,sdu.edu.tr,http://www.sdu.edu.tr/
Istanbul Şehir University,Turkey,TR,sehir.edu.tr,http://www.sehir.edu.tr/
Selcuk University,Turkey,TR,selcuk.edu.tr,http://www.selcuk.edu.tr/
Tarsus University,Turkey,TR,tarsus.edu.tr,http://www.tarsus.edu.tr/
Türkisch-Deutsche Universität,Turkey,TR,tau.edu.tr,http://www.tau.edu.tr/
Trakya University,Turkey,TR,trakya.edu.tr,http://www.trakya.edu.tr/
Ufuk University,Turkey,TR,ufuk.edu.tr,http://www.ufuk.edu.tr/
Uludag University,Turkey,TR,uludag.edu.tr,http://www.uludag.edu.tr/
Yalova University,Turkey,TR,yalova.edu.tr,http://www.yalova.edu.tr/
Yasar University,Turkey,TR,yasar.edu.tr,http://www.yasar.edu.tr/
Yildirim Beyazit University,Turkey,TR,ybu.edu.tr,http://www.ybu.edu.tr/
Yeditepe University,Turkey,TR,yeditepe.edu.tr,http://www.yeditepe.edu.tr/
Yildiz Technical University,Turkey,TR,yildiz.edu.tr,http://www.yildiz.edu.tr/
Yüzüncü Yil (Centennial) University,Turkey,TR,yyu.edu.tr,http://www.yyu.edu.tr/
Abdullah Gul University,Turkey,TR,agu.edu.tr,http://www.agu.edu.tr/
Adana Science and Technology University,Turkey,TR,adanabtu.edu.tr,http://www.agu.edu.tr/
Adiyaman University,Turkey,TR,adiyaman.edu.tr,http://www.adiyaman.edu.tr/
Agri Ibrahim Cecen University,Turkey,TR,agri.edu.tr,http://www.agri.edu.tr/
Aksaray University,Turkey,TR,aksaray.edu.tr,http://www.aksaray.edu.tr/
Alanya Alaaddin Keykubat University,Turkey,TR,alanyaaku.edu.tr,http://www.alanyaaku.edu.tr/
Amasya University,Turkey,TR,amasya.edu.tr,http://www.amasya.edu.tr/
Ankara Social Science University,Turkey,TR,asbu.edu.tr,http://www.asbu.edu.tr/
Ardahan University,Turkey,TR,ardahan.edu.tr,http://www.ardahan.edu.tr/
Artvin Coruh University,Turkey,TR,artvin.edu.tr,http://www.artvin.edu.tr/
Bandirma ONYEDI Eylul University,Turkey,TR,bandirma.edu.tr,http://www.bamdirma.edu.tr/
Bartin University,Turkey,TR,bartin.edu.tr,http://www.bartin.edu.tr/
Batman University,Turkey,TR,batman.edu.tr,http://www.batman.edu.tr/
Bayburt University,Turkey,TR,bayburt.edu.tr,http://www.bayburt.edu.tr/
Bilecik Seyh Edebali University,Turkey,TR,bilecik.edu.tr,http://www.bilecik.edu.tr/
Bingol University,Turkey,TR,bingol.edu.tr,http://www.bingol.edu.tr/
Bitlis Eren University,Turkey,TR,beu.edu.tr,http://www.beu.edu.tr/
Bozok University,Turkey,TR,bozok.edu.tr,http://www.bozok.edu.tr/
Bursa Tecnical University,Turkey,TR,btu.edu.tr,http://www.btu.edu.tr/
Cankiri karatekin University,Turkey,TR,karatekin.edu.tr,http://www.karatekin.edu.tr/
Duzce University,Turkey,TR,duzce.edu.tr,http://www.duzce.edu.tr/
Erzincan University,Turkey,TR,erzincan.edu.tr,http://www.erzincan.edu.tr/
Erzurum Tecnical University,Turkey,TR,erzurum.edu.tr,http://www.erzurum.edu.tr/
Gebze Tecnical University,Turkey,TR,gtu.edu.tr,http://www.gtu.edu.tr/
Gulhane military medical Academy,Turkey,TR,gata.edu.tr,http://www.gata.edu.tr/
Gumushane University,Turkey,TR,gumushane.edu.tr,http://www.gumushane.edu.tr/
Hakkari University,Turkey,TR,hakkari.edu.tr,http://www.hakkari.edu.tr/
Air Force Academy,Turkey,TR,hho.edu.tr,http://www.hho.edu.tr/
Hitit University,Turkey,TR,hitit.edu.tr,http://www.hitit.edu.tr/
Igdir University,Turkey,TR,igdir.edu.tr,http://www.igdir.edu.tr/
Iskenderun Tecnical University,Turkey,TR,iste.edu.tr,http://www.iste.edu.tr/
Istanbul Medeniyet University,Turkey,TR,medeniyet.edu.tr,http://www.medeniyet.edu.tr/
Istanbul University,Turkey,TR,istanbul.edu.tr,http://www.istanbul.edu.tr/
Izmir Katip Celebi University,Turkey,TR,"ikc.edu.tr, ikcu.edu.tr",http://www.ikc.edu.tr/
Karabuk University,Turkey,TR,karabuk.edu.tr,http://www.karabuk.edu.tr/
karamanoglu mehmet bey University,Turkey,TR,kmu.edu.tr,http://www.kmu.edu.tr/
Kastamonu University,Turkey,TR,kastamonu.edu.tr,http://www.kastamonu.edu.tr/
Kirklareli University,Turkey,TR,kirklareli.edu.tr,http://www.kirklareli.edu.tr/
Mardin Artuklu University,Turkey,TR,artuklu.edu.tr,http://www.artuklu.edu.tr/
Mehmet Akif Ersoy University,Turkey,TR,mehmetakif.edu.tr,http://www.mehmetakif.edu.tr/
Mimar Sinan Fine Arts University,Turkey,TR,msgsu.edu.tr,http://www.msgsu.edu.tr/
Mus Alparslan University,Turkey,TR,alparslan.edu.tr,http://www.alparslan.edu.tr/
Nevsehir Haci Bektas Veli University,Turkey,TR,nevsehir.edu.tr,http://www.nevsehir.edu.tr/
Osmaniye Korkut Ata University,Turkey,TR,osmaniye.edu.tr,http://www.osmaniye.edu.tr/
Recep Tayip Erdogan University,Turkey,TR,erdogan.edu.tr,http://www.erdogan.edu.tr/
Siirt University,Turkey,TR,siirt.edu.tr,http://www.siirt.edu.tr/
Sinop University,Turkey,TR,sinop.edu.tr,http://www.sinop.edu.tr/
Sirnak University,Turkey,TR,sirnak.edu.tr,http://www.sirnak.edu.tr/
Tunceli University,Turkey,TR,tunceli.edu.tr,http://www.tunceli.edu.tr/
Health Sciences University,Turkey,TR,sbu.edu.tr,http://www.sbu.edu.tr/
Usak University,Turkey,TR,usak.edu.tr,http://www.usak.edu.tr/
Bulent Ecevit University,Turkey,TR,beun.edu.tr,http://www.beun.edu.tr/
Acibadem University,Turkey,TR,acibadem.edu.tr,http://www.acibadem.edu.tr/
Alanya Hamdullah Emin Pasa University,Turkey,TR,ahap.edu.tr,http://www.ahap.edu.tr/
Avrasya University,Turkey,TR,avrasya.edu.tr,http://www.avrasya.edu.tr/
Bezmialem Vakif University,Turkey,TR,bezmialem.edu.tr,http://www.bezmialem.edu.tr/
Biruni University,Turkey,TR,biruni.edu.tr,http://www.biruni.edu.tr/
Fatih Sultan Mehmet University,Turkey,TR,fatihsultan.edu.tr,http://www.fatihsultan.edu.tr/
Gedik University,Turkey,TR,gedik.edu.tr,http://www.gedik.edu.tr/
Hasan Kalyoncu University,Turkey,TR,hku.edu.tr,http://www.hku.edu.tr/
Istanbul 29Mayis  University,Turkey,TR,29mayis.edu.tr,http://www.29mayis.edu.tr/
Istanbul Aydin University,Turkey,TR,aydin.edu.tr,http://www.aydin.edu.tr/
Istanbul Esenyurt University,Turkey,TR,esenyurt.edu.tr,http://www.esenyurt.edu.tr/
Istanbul Gelisim University,Turkey,TR,gelisim.edu.tr,http://www.gelisim.edu.tr/
Istanbul Kemerburgaz  University,Turkey,TR,kemerburgaz.edu.tr,http://www.kemerburgaz.edu.tr/
Istanbul Medipol University,Turkey,TR,medipol.edu.tr,http://www.medipol.edu.tr/
Istanbul Rumeli University,Turkey,TR,rumeli.edu.tr,http://www.rumeli.edu.tr/
Istanbul Sabahattin Zaim University,Turkey,TR,iszu.edu.tr,http://www.iszu.edu.tr/
Izmir University of Economics,Turkey,TR,"ieu.edu.tr, izmirekonomi.edu.tr",http://www.ieu.edu.tr/
Karatay University,Turkey,TR,karatay.edu.tr,http://www.karatay.edu.tr/
Konya Gida Tarim University,Turkey,TR,gidatarim.edu.tr,http://www.gidatarim.edu.tr/
MEF University,Turkey,TR,mef.edu.tr,http://www.mef.edu.tr/
Nisantasi University,Turkey,TR,nisantasi.edu.tr,http://www.nisantasi.edu.tr/
Nuh Naci Yazgan University,Turkey,TR,nny.edu.tr,http://www.nny.edu.tr/
Okan University,Turkey,TR,okan.edu.tr,http://www.okan.edu.tr/
Piri Reis University,Turkey,TR,pirireis.edu.tr,http://www.pirireis.edu.tr/
Sanko University,Turkey,TR,sanko.edu.tr,http://www.sanko.edu.tr/
TED University,Turkey,TR,tedu.edu.tr,http://www.tedu.edu.tr/
Toros University,Turkey,TR,toros.edu.tr,http://www.toros.edu.tr/
Turkish Aeronautical Association University,Turkey,TR,thk.edu.tr,http://www.thk.edu.tr/
Antalya international University,Turkey,TR,antalya.edu.tr,http://www.antalya.edu.tr/
Uskudar University,Turkey,TR,uskudar.edu.tr,http://www.uskudar.edu.tr/
Yeni Yuzyil University,Turkey,TR,yeniyuzyil.edu.tr,http://www.yeniyuzyil.edu.tr/
Yuksek ihtisas University,Turkey,TR,yuksekihtisasuniversitesi.edu.tr,http://www.yuksekihtisasuniversitesi.edu.tr/
Konya Technical University,Turkey,TR,ktun.edu.tr,http://www.ktun.edu.tr/
Izmir Bakırçay University,Turkey,TR,bakircay.edu.tr,https://www.bakircay.edu.tr/
Izmir Democracy University,Turkey,TR,idu.edu.tr,https://www.idu.edu.tr/
Izmir Tınaztepe University,Turkey,TR,tinaztepe.edu.tr,https://www.tinaztepe.edu.tr/
Adnan Menderes University,Turkey,TR,adu.edu.tr,http://www.adu.edu.tr/
Ahi Evran University,Turkey,TR,ahievran.edu.tr,http://www.ahievran.edu.tr/
Akdeniz University,Turkey,TR,akdeniz.edu.tr,http://www.akdeniz.edu.tr/
Afyon Kocatepe University,Turkey,TR,aku.edu.tr,http://www.aku.edu.tr/
Anadolu University,Turkey,TR,anadolu.edu.tr,http://www.anadolu.edu.tr/
Ankara University,Turkey,TR,ankara.edu.tr,http://www.ankara.edu.tr/
Istanbul Arel University,Turkey,TR,arel.edu.tr,http://www.arel.edu.tr/
Atatürk University,Turkey,TR,atauni.edu.tr,http://www.atauni.edu.tr/
Atilim University,Turkey,TR,atilim.edu.tr,http://www.atilim.edu.tr/
Bahcesehir University,Turkey,TR,bahcesehir.edu.tr,http://www.bahcesehir.edu.tr/
Balikesir University,Turkey,TR,balikesir.edu.tr,http://www.balikesir.edu.tr/
Baskent University,Turkey,TR,baskent.edu.tr,http://www.baskent.edu.tr/
Celal Bayar University,Turkey,TR,"mcbu.edu.tr, cbu.edu.tr",http://www.mcbu.edu.tr/
Beykent University,Turkey,TR,beykent.edu.tr,http://www.beykent.edu.tr/
Bilecik University,Turkey,TR,bilecik.edu.tr,http://www.bilecik.edu.tr/
Istanbul Bilgi University,Turkey,TR,bilgi.edu.tr,http://www.bilgi.edu.tr/
Bilkent University,Turkey,TR,bilkent.edu.tr,http://www.bilkent.edu.tr/
Boğaziçi University,Turkey,TR,boun.edu.tr,http://www.boun.edu.tr/
Cag University,Turkey,TR,cag.edu.tr,http://www.cag.edu.tr/
Cankaya University,Turkey,TR,cankaya.edu.tr,http://www.cankaya.edu.tr/
Canakkale (18th March) University,Turkey,TR,comu.edu.tr,http://www.comu.edu.tr/
Cukurova University,Turkey,TR,cu.edu.tr,http://www.cu.edu.tr/
Cumhuriyet (Republik) University,Turkey,TR,cumhuriyet.edu.tr,http://www.cumhuriyet.edu.tr/
Dokuz Eylül University,Turkey,TR,deu.edu.tr,http://www.deu.edu.tr/
