Job Title,Company Name,Location,Skills,Links
Odoo Developer,Al-hakeema -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · males_preferred · IT/Software Development · Implementation · ERP · Engineering · Computer Science · Sales · Odoo ERP · Odoo · MVC · Information Technology (IT),https://wuzzuf.net//jobs/p/dwYaww9FHg3a-Odoo-Developer-Al-hakeema-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|hpb
Odoo Developer,Rashid Al Jabri Group -,"Dubai, United Arab Emirates ",Full TimeExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Odoo Development · ODOO DEVELOPER · Information Technology (IT) · Odoo · Python · Programming · Computer Science · Software Development · JavaScript,https://wuzzuf.net//jobs/p/0D9waiTwckuS-Odoo-Developer-Rashid-Al-Jabri-Group-Dubai-United-Arab-Emirates?o=17&l=sp&t=sj&a=python|search-v3|hpb
Odoo Developer,Exceed -,"Cairo, Egypt ",Full TimePart TimeWork From HomeExperienced · 3 - 9 Yrs of Exp · IT/Software Development · Linux · Git · Odoo · Python · PostgreSQL,https://wuzzuf.net//jobs/p/dlNhC0JhaVjD-Odoo-Developer-Exceed-Cairo-Egypt?o=18&l=sp&t=sj&a=python|search-v3|hpb
Odoo Developer,arabianopensource -,"Cairo, Egypt ",Full TimePart TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Odoo · SQL · XML · Programming · Front end · JavaScript · PostgreSQL,https://wuzzuf.net//jobs/p/MPoCwtjvdEzV-Odoo-Developer-arabianopensource-Cairo-Egypt?o=19&l=sp&t=sj&a=python|search-v3|hpb
Linux System Administrator,Softxpert Incorporation  -,"Alexandria, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · Administration · Linux · Engineering · Security · System Administration · AWS · Computer Science,https://wuzzuf.net//jobs/p/h1bPuHHuNDFi-Linux-System-Administrator-Softxpert-Incorporation-Alexandria-Egypt?o=20&l=sp&t=sj&a=python|search-v3|hpb
Junior Software Engineer,Libertas -,"Maadi, Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · JavaScript · Laravel · MySQL · PHP · React · Redis,https://wuzzuf.net//jobs/p/njWneEzED44m-Junior-Software-Engineer-Libertas-Cairo-Egypt?o=21&l=sp&t=sj&a=python|search-v3|hpb
Senior Software Engineer - VoIP,Bevatel -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · PHP · Linux · Asterisk · Docker · Git · Python · VOIP · SIP,https://wuzzuf.net//jobs/p/ykPxK7nDYEQH-Senior-Software-Engineer---VoIP-Bevatel-Giza-Egypt?o=22&l=sp&t=sj&a=python|search-v3|hpb
Senior GIS Developer,RTR Software Solutions  -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · GIS · Development · Information Technology (IT) · Python · Java · .Net Framework · GIS Analysis · Arc GIS · openlayers,https://wuzzuf.net//jobs/p/0TGSH2sk5P4Z-Senior-GIS-Developer-RTR-Software-Solutions-Cairo-Egypt?o=23&l=sp&t=sj&a=python|search-v3|hpb
Regular/Senior C++ Developer,Luxoft (A DXC Technology Company) -,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · C++ · Python · Software Development · Software · Programming,https://wuzzuf.net//jobs/p/Ay20zZ2MDsyT-RegularSenior-C-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=24&l=sp&t=sj&a=python|search-v3|hpb
Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting,https://wuzzuf.net//jobs/p/DJ5VofdSWmu7-Data-Analyst-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt?o=25&l=sp&t=sj&a=python|search-v3|hpb
Odoo Developer,Arabia for Information Technology -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · PostgreSQL · ERP · Odoo Development · Odoo ERP,https://wuzzuf.net//jobs/p/NdyzaIn7yuBA-Odoo-Developer-Arabia-for-Information-Technology-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|hpb
Odoo Senior Developer,IT Systems Corporation -,"6th of October, Giza, Egypt ",Full TimePart TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Python · ODOO · Development · Django · E-commerce · Postgres,https://wuzzuf.net//jobs/p/j0UTG7vqx2k8-Odoo-Senior-Developer-IT-Systems-Corporation-Giza-Egypt?o=27&l=sp&t=sj&a=python|search-v3|hpb
Senior Full Stack Developer,Eden Solutions -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · software · typescript · Node · Compuer Science · MongoDB · React · AWS · SQL,https://wuzzuf.net//jobs/p/1AqXyZVqDSXF-Senior-Full-Stack-Developer-Eden-Solutions-Cairo-Egypt?o=28&l=sp&t=sj&a=python|search-v3|hpb
"Data Scientist ""Senior/Lead""",Confidential -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 10 Yrs of Exp · R&D/Science · IT/Software Development · Algorithms · Computer Science · Data Science · Information Technology (IT) · Python · Spark · Statistics · Machine Learning,https://wuzzuf.net//jobs/p/PmQv2opPhA7S-Data-Scientist-SeniorLead-Cairo-Egypt?o=29&l=sp&t=sj&a=python|search-v3|hpb
Senior Full Stack Developer,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · AWS · Computer Science · front-end · Information Technology (IT) · Java · JavaScript · Laravel,https://wuzzuf.net//jobs/p/hh4PopoV8Ey5-Senior-Full-Stack-Developer-Trufla-Cairo-Egypt?o=30&l=sp&t=sj&a=python|search-v3|hpb
Junior Software Developer,Egytrans -,"Alexandria, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Python · Java · Software Development · SQL,https://wuzzuf.net//jobs/p/EyjtkDHqaiMe-Junior-Software-Developer-Egytrans-Alexandria-Egypt?o=31&l=sp&t=sj&a=python|search-v3|hpb
Data Science/Machine learning/AI Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt ",Full TimePart TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI),https://wuzzuf.net//jobs/p/z1WUTO5z3VPv-Data-ScienceMachine-learningAI-Instructor-EpsilonAI-Cairo-Egypt?o=32&l=sp&t=sj&a=python|search-v3|hpb
Sr. DevOps Engineer,Devexy -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Kubernetes · Docker · Linux · Python · JavaScript · AWS · Azure · Oracle cloud · SQL Server,https://wuzzuf.net//jobs/p/k0rlz9Rc4rgh-Sr-DevOps-Engineer-Devexy-Cairo-Egypt?o=33&l=sp&t=sj&a=python|search-v3|hpb
